pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
98.0,-90.225,90.0,top,A2,,,RaspberryPi_Pico_Common_Unspecified,RaspberryPi_Pico,tht
225.195,-86.59,-90.0,top,BZ1,,,Buzzer_12x9.5RM7.6,Buzzer,tht
181.4625,-105.225,180.0,top,C1,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht
159.9625,-84.225,-90.0,top,C10,,,CP_Radial_D5.0mm_P2.50mm,10µF,tht
181.9625,-75.225,180.0,top,C11,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht
210.9625,-77.225,0.0,top,C13,,,CP_Radial_D5.0mm_P2.50mm,10µF,tht
159.8825,-98.4301,-90.0,top,C2,,,CP_Radial_D5.0mm_P2.50mm,10µF,tht
151.8825,-101.9301,90.0,top,C3,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht
192.9625,-102.725,90.0,top,C4,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht
192.9625,-83.225,90.0,top,C5,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht
128.3825,-93.225,0.0,top,C6,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht
132.0876,-101.725,180.0,top,C7,,,CP_Radial_D5.0mm_P2.50mm,10µF,tht
213.5876,-104.725,180.0,top,C8,,,CP_Radial_D5.0mm_P2.50mm,10µF,tht
151.9625,-88.225,90.0,top,C9,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht
181.4625,-100.0501,90.0,top,D1,,,D_DO-35_SOD27_P7.62mm_Horizontal,12v,tht
181.4625,-80.1201,-90.0,top,D2,,,D_DO-35_SOD27_P7.62mm_Horizontal,12v,tht
232.0,-77.5,0.0,top,H1,,,MountingHole_2.2mm_M2,MountingScrew,tht
232.0,-104.0,0.0,top,H2,,,MountingHole_2.2mm_M2,MountingScrew,tht
76.5,-75.5,0.0,top,H3,,,MountingHole_2.2mm_M2,MountingScrew,tht
76.5,-106.0,0.0,top,H4,,,MountingHole_2.2mm_M2,MountingScrew,tht
114.37,-105.91,-90.0,top,J1,,,PinHeader_1x12_P2.54mm_Vertical,Conn_01x12_Pin,tht
166.9625,-102.0101,90.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2.2K,tht
228.4625,-100.725,180.0,top,R10,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5.1M,tht
128.4625,-77.645,-90.0,top,R11,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10K,tht
133.4625,-87.805,90.0,top,R12,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10K,tht
207.4625,-74.115,180.0,top,R13,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10k,tht
207.4625,-80.615,180.0,top,R14,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k,tht
218.8025,-80.725,0.0,top,R15,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5.1M,tht
218.8025,-74.225,0.0,top,R16,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2.2k,tht
186.4625,-95.145,-90.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10K,tht
151.3025,-92.4301,0.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220,tht
151.4625,-79.225,0.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220,tht
197.3825,-100.725,0.0,top,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10k,tht
197.3825,-107.225,0.0,top,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k,tht
166.9625,-78.3501,-90.0,top,R7,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2.2K,tht
228.4625,-107.225,180.0,top,R8,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2.2k,tht
186.4625,-85.805,90.0,top,R9,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10K,tht
174.85,-93.4301,-90.0,top,RV1,,,Potentiometer_Vishay_T93YA_Vertical,10k,tht
175.4625,-85.9301,90.0,top,RV2,,,Potentiometer_Vishay_T93YA_Vertical,10k,tht
143.05,-90.375,180.0,top,U1,,,MT3608,MT3608,smt
193.24,-94.035,90.0,top,U2,,,DIP-8_W7.62mm,MCP6002-xP,tht
209.16,-93.925,90.0,top,U3,,,DIP-8_W7.62mm,LM393,tht
